,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
41,Colombia,32192874.0,20978540.0,13880688.0,63.27,41.23,27.28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
42,Comoros,216123.0,174765.0,41358.0,24.85,20.1,4.76,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
43,Congo,255988.0,160945.0,95043.0,4.64,2.92,1.72,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
44,Cook Islands,20509.0,10931.0,9578.0,116.77,62.24,54.53,Oxford/AstraZeneca
45,Costa Rica,3848155.0,2948584.0,899571.0,75.54,57.88,17.66,"Oxford/AstraZeneca, Pfizer/BioNTech"
46,Cote d'Ivoire,1246309.0,1246309.0,,4.72,4.72,,Oxford/AstraZeneca
47,Croatia,3182592.0,1684554.0,1558636.0,77.52,41.03,37.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
48,Cuba,12225378.0,4854330.0,3047933.0,107.93,42.86,26.91,"Abdala, Soberana02"
49,Curacao,179876.0,94829.0,85047.0,109.61,57.79,51.83,"Moderna, Pfizer/BioNTech"
50,Cyprus,1056083.0,558543.0,497540.0,118.93,62.9,56.03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
51,Czechia,11090060.0,5849107.0,5419022.0,103.56,54.62,50.6,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
52,Democratic Republic of Congo,86244.0,81984.0,4260.0,0.1,0.09,0.0,Oxford/AstraZeneca
53,Denmark,8206273.0,4348348.0,3904382.0,141.68,75.07,67.41,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
54,Djibouti,53064.0,32548.0,20516.0,5.37,3.29,2.08,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
55,Dominica,41435.0,21548.0,19887.0,57.56,29.93,27.62,"Oxford/AstraZeneca, Sinopharm/Beijing"
56,Dominican Republic,10697563.0,5683833.0,4480873.0,98.61,52.4,41.31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
57,Ecuador,15516237.0,9958643.0,5557594.0,87.95,56.45,31.5,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
58,Egypt,6477535.0,4319631.0,2157904.0,6.33,4.22,2.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
59,El Salvador,5417193.0,3306114.0,2111079.0,83.52,50.97,32.55,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
60,England,73982159.0,39771795.0,34210364.0,130.83,70.33,60.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
61,Equatorial Guinea,325449.0,187837.0,137612.0,23.2,13.39,9.81,Sinopharm/Beijing
62,Estonia,1224290.0,700717.0,523573.0,92.29,52.82,39.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
63,Eswatini,181290.0,96175.0,115927.0,15.63,8.29,9.99,Oxford/AstraZeneca
64,Ethiopia,2326531.0,2326531.0,,2.02,2.02,,Oxford/AstraZeneca
65,Faeroe Islands,69722.0,36181.0,33541.0,142.68,74.04,68.64,"Moderna, Pfizer/BioNTech"
66,Falkland Islands,4407.0,2632.0,1775.0,126.53,75.57,50.96,Oxford/AstraZeneca
67,Fiji,745201.0,533705.0,211496.0,83.13,59.54,23.59,Oxford/AstraZeneca
68,Finland,6299839.0,3876306.0,2423533.0,113.7,69.96,43.74,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
69,France,81862129.0,46635460.0,36190813.0,121.16,69.02,53.57,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
70,French Polynesia,190080.0,108287.0,81793.0,67.67,38.55,29.12,"Johnson&Johnson, Pfizer/BioNTech"
71,Gabon,120627.0,71867.0,48760.0,5.42,3.23,2.19,Sinopharm/Beijing
72,Gambia,316363.0,175950.0,140413.0,13.09,7.28,5.81,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
73,Georgia,883570.0,625267.0,258303.0,22.15,15.67,6.48,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
74,Germany,98706065.0,52944132.0,48419275.0,117.81,63.19,57.79,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
75,Ghana,1271393.0,865422.0,405971.0,4.09,2.79,1.31,"Oxford/AstraZeneca, Sputnik V"
76,Gibraltar,78570.0,39396.0,39174.0,233.21,100.0,100.0,Pfizer/BioNTech
77,Greece,11076656.0,5872951.0,5563987.0,106.27,56.35,53.38,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
78,Greenland,68767.0,38755.0,30012.0,121.13,68.26,52.86,Moderna
79,Grenada,39121.0,21963.0,17158.0,34.77,19.52,15.25,Oxford/AstraZeneca
80,Guatemala,3423977.0,2809079.0,614898.0,19.11,15.68,3.43,"Moderna, Oxford/AstraZeneca"
81,Guernsey,97600.0,32969.0,13618.0,145.56,49.17,20.31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
82,Guinea,962565.0,617629.0,344936.0,7.33,4.7,2.63,Sputnik V
83,Guinea-Bissau,30471.0,28097.0,2374.0,1.55,1.43,0.12,"Oxford/AstraZeneca, Sinopharm/Beijing"
84,Guyana,434965.0,287837.0,147128.0,55.3,36.59,18.71,"Oxford/AstraZeneca, Sputnik V"
85,Haiti,20281.0,20251.0,371.0,0.18,0.18,0.0,"Johnson&Johnson, Oxford/AstraZeneca"
86,Honduras,3292889.0,2326420.0,966469.0,33.25,23.49,9.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
87,Hong Kong,6821454.0,3829807.0,2991647.0,90.99,51.08,39.9,"Pfizer/BioNTech, Sinovac"
88,Hungary,10555046.0,5693214.0,5502086.0,109.26,58.93,56.96,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
89,Iceland,477205.0,275173.0,255322.0,139.84,80.64,74.82,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
90,India,562151515.0,437698591.0,124452924.0,40.74,31.72,9.02,"Covaxin, Oxford/AstraZeneca, Sputnik V"
91,Indonesia,84595839.0,55192494.0,29403345.0,30.93,20.18,10.75,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
92,Iran,19894523.0,15513459.0,4381064.0,23.69,18.47,5.22,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
93,Iraq,2102550.0,826007.0,494900.0,5.23,2.05,1.23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
